FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Shai Gilgeous-Alexander,Lac,G,21,6,28.8,17.6,20,0.85,42,0.452,18,0.5,13.7,2.7,3.2,1,0.83,0.83
JaMychal Green,Lac,F,29,6,23.5,17,10,0.8,20,0.55,23,0.522,11,5.3,0.8,0.67,0,1.83
Montrezl Harrell,Lac,F-C,25,6,26.3,21.5,26,0.692,62,0.742,1,0,18.3,5.5,2.2,0.5,0.67,1.33
Landry Shamet,Lac,G,22,6,29,11.7,10,1,7,0.429,31,0.323,7.7,2,1.7,1,0,1.17
Garrett Temple,Lac,G-F,33,6,10.5,11.4,10,0.7,4,0.5,7,0.143,2.3,1.2,0.3,0.5,0.17,0.33
Lou Williams,Lac,G,33,6,29.4,32.6,41,0.829,86,0.453,18,0.333,21.7,2.8,7.7,0.83,0.17,3
Lonnie Walker IV,San,G,21,6,3.5,17.6,0,0,7,0.429,1,0,1,0.3,0.5,0,0,0
Kenneth Faried,Hou,F-C,30,6,9.4,12.2,6,0.833,12,0.667,1,1,4,3.5,0.3,0.33,0,0
Semi Ojeleye,Bos,F,25,6,5.8,13.8,2,1,4,0.25,5,0.6,2.2,0.3,0.3,0,0,0.17
Jake Layman,Por,F,25,6,3.4,18.8,4,0.75,2,0.5,5,0,0.8,0.7,0,0,0,0
Jarrett Allen,Bro,C,21,5,22,18,20,0.85,32,0.594,0,0,11,6.8,2.2,0.6,0.6,1.6
DeMarre Carroll,Bro,F,33,5,23.9,15.1,8,1,14,0.143,24,0.292,6.6,4,0.4,0.8,0,0.6
Spencer Dinwiddie,Bro,G,26,5,26.3,23.5,14,0.714,38,0.474,24,0.375,14.6,2.6,1.6,0.4,0,1.6
Treveon Graham,Bro,F,26,5,15.7,8.1,6,0.5,3,0.667,7,0,1.4,2.2,0.6,0.4,0.2,0.6
Joe Harris,Bro,G-F,28,5,29.9,15.1,8,1,22,0.545,21,0.19,8.8,4.2,0.6,0.6,0,1.8
Caris LeVert,Bro,G,25,5,28.9,26.9,29,0.724,47,0.511,26,0.462,21,4.6,3,1,0.4,2
D'Angelo Russell,Bro,G,23,5,29.6,33.4,13,0.846,65,0.385,37,0.324,19.4,3.6,3.6,1.4,0.2,2.8
Davis Bertans,San,F,27,5,15.8,10.7,5,0.6,4,0.5,11,0.273,3.2,1.6,1,0,0.2,0.2
D.J. Augustin,Orl,G,32,5,28.2,17.3,16,0.875,20,0.5,21,0.476,12.8,1.6,3.8,0.4,0.2,1.4
Khem Birch,Orl,C,27,5,18.3,13.1,7,0.857,18,0.556,0,0,5.2,6.2,0.8,0.2,1,1.2
Michael Carter-Williams,Orl,G,28,5,18.5,20.4,8,0.875,23,0.435,8,0.25,6.6,4,2.4,0.6,0,1.6
Evan Fournier,Orl,G-F,27,5,35,21.4,8,0.75,35,0.457,34,0.235,12.4,3.2,2,1.4,0,2.4
Aaron Gordon,Orl,F,24,5,32.8,22.5,19,0.526,42,0.5,20,0.4,15.2,7.2,3.6,1.2,0.2,2.6
Jonathan Isaac,Orl,F,22,5,27.3,15.7,8,0.875,20,0.35,20,0.2,6.6,6.2,0.4,0.4,1,1
Wes Iwundu,Orl,F,24,5,12,17.7,9,1,9,0.333,9,0.333,4.8,1.4,0.8,0.6,0,0.4
Terrence Ross,Orl,G-F,28,5,29.2,21.7,17,0.824,19,0.421,35,0.343,13.2,3.6,1.4,1.2,0.4,2
Nikola Vucevic,Orl,C,29,5,29.5,23.2,14,0.786,45,0.4,13,0.231,11.2,8,3,0.4,1,2.6
Steven Adams,Okc,C,26,5,31.8,14.6,8,0.375,41,0.683,1,0,11.8,7.2,1.4,1,1,1.8
Raymond Felton,Okc,G,35,5,11.4,11.9,2,0.5,5,0.4,8,0.25,2.2,0.6,0.6,0.8,0.2,0.4
Terrance Ferguson,Okc,G,21,5,25.6,10,0,0,7,0.286,18,0.389,5,2.4,1.2,0.4,0,1
Paul George,Okc,F,29,5,40.8,29.9,49,0.816,54,0.537,47,0.319,28.6,8.6,3.6,1.4,0.2,4
Jerami Grant,Okc,F,25,5,35.2,12.1,13,0.692,20,0.55,20,0.45,11.6,5.6,0.8,0.6,2,0.8
Markieff Morris,Okc,F,30,5,11.8,16,9,0.778,9,0.333,7,0.286,3.8,2.6,1,0.2,0.6,0.4
Nerlens Noel,Okc,F-C,25,5,12.1,18.3,2,0,20,0.6,0,0,4.8,3.8,0,0.4,0.6,1
Dennis Schroder,Okc,G,26,5,30.1,19.5,18,0.722,35,0.543,20,0.3,13.8,3.2,3.4,0.8,0,1.2
Russell Westbrook,Okc,G,31,5,39.4,31.5,26,0.885,77,0.377,34,0.324,22.8,8.8,10.6,1,0.6,4.6
Jae Crowder,Uta,F,29,5,26,18.1,19,0.737,16,0.5,30,0.3,11.4,5.8,0.8,1,0,0.2
Derrick Favors,Uta,F-C,28,5,20.6,20.4,19,0.684,33,0.697,3,0,11.8,7.4,0.8,0.8,1.8,1
Rudy Gobert,Uta,C,27,5,30.4,14.3,23,0.783,32,0.594,0,0,11.2,10.2,1.4,0.6,2.6,1.8
