FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Boban Marjanovic,Phi,C,30.83,10,10.5,25.2,19,0.842,37,0.649,3,0,6.4,3.6,1.1,17.8,0.2,0.3,1.4,11.2,114.1,93.7
Greg Monroe,Phi,C,29.03,10,9,22.6,9,0.778,36,0.417,4,0.25,4,3.1,0.4,6.9,0.5,0.4,0.4,7.6,103.6,97.3
Austin Rivers,Hou,G,26.87,10,21.5,14.8,6,0.667,27,0.407,35,0.457,7.4,2.1,1,7.2,0.5,0.1,0.8,4.6,109,100.8
Mike Scott,Phi,F,30.91,10,19.3,12,2,1,13,0.692,34,0.353,5.6,3.4,0.5,3.6,0.3,0,0.7,4.4,106.1,101.6
T.J. McConnell,Phi,G,27.22,9,8.3,15.8,0,0,27,0.444,0,0,2.7,0.7,1.2,22.3,0.22,0.11,0.11,6.3,106.4,109.4
Aron Baynes,Bos,F-C,32.51,9,12.8,7.5,2,0.5,8,0.75,6,0.333,2.1,2.8,0.3,3.9,0.33,0.33,0.56,3.8,107.9,92.5
Jaylen Brown,Bos,F,22.64,9,30.4,18.4,30,0.767,47,0.638,40,0.35,13.9,5.8,1.1,6.3,0.67,0.22,1.67,5.9,111.6,99.8
Gordon Hayward,Bos,F,29.23,9,29.6,15.3,19,1,46,0.435,24,0.375,9.6,4,2.4,13,0.67,0.33,1.67,6.1,103.8,106.6
Al Horford,Bos,F-C,33.03,9,34.5,19.3,18,0.833,66,0.424,44,0.409,13.9,9,4.4,21.7,0.44,0.78,2.11,9.5,107.1,103.5
Kyrie Irving,Bos,G,27.23,9,36.7,29.8,40,0.9,121,0.421,58,0.31,21.3,4.4,7,35.7,1.33,0.44,3.11,9.5,100.5,104.1
Marcus Morris,Bos,F,29.78,9,28.3,17.2,31,0.742,39,0.59,40,0.45,13.7,8.1,1.2,7.4,0.11,0.56,0.78,7.2,130,101.3
Terry Rozier,Bos,G,25.24,9,18,20.6,16,0.75,25,0.44,34,0.235,6.4,4.3,1.9,16.8,0.44,0.22,1.11,8.3,91.5,100
Jayson Tatum,Bos,F,21.28,9,32.8,21.8,39,0.744,81,0.481,31,0.323,15.2,6.7,1.9,10,1.11,0.78,2,7.1,100.7,102.9
Malcolm Miller,Tor,F,26.27,10,2.8,17.5,4,0.75,2,0.5,6,0.167,0.8,0.5,0.1,5.1,0,0.1,0.1,4.9,,
Tony Snell,Mil,G,27.59,9,3.2,9.1,0,0,4,0.25,2,0.5,0.6,0.2,0,0,0.11,0.11,0,0,,
Iman Shumpert,Hou,G,28.97,8,13.7,12.3,4,0.25,4,0.5,22,0.364,3.6,1.5,0.3,2.7,0.13,0,0.38,3.4,99.1,106.9
D.J. Wilson,Mil,F,23.32,8,5.3,24,2,1,11,0.636,5,0.2,2.4,1.3,0.5,14.9,0,0.13,0.88,8.8,84.9,91.6
Eric Moreland,Tor,F-C,27.47,8,3.5,3.2,0,0,2,0.5,0,0,0.3,1.6,0.4,14.3,0,0,0,6.6,,
Patrick McCaw,Tor,G,23.64,11,4.4,6.4,2,1,2,0,3,0.333,0.5,0.3,0.4,10.9,0.18,0,0.09,3.6,112.5,104.9
LaMarcus Aldridge,San,F,33.9,7,34.9,27,33,0.818,110,0.473,11,0.273,20,9.6,2.7,13.1,0.71,1,1,9.2,112.3,103.8
Marco Belinelli,San,G-F,33.22,7,18.8,15,6,0.833,17,0.353,21,0.381,5.9,1.9,1.1,8.5,0,0.29,0.29,4.9,106.3,111.3
DeMar DeRozan,San,G,29.85,7,35.8,27.8,44,0.864,118,0.492,1,0,22,6.7,4.6,21.6,1.14,0.14,1.71,9.8,115.8,106.9
Bryn Forbes,San,G,25.89,7,30.3,13.7,9,0.667,25,0.48,31,0.484,10.7,3.6,1,4.7,0.14,0.14,0.43,4.5,122,109.3
Rudy Gay,San,F,32.83,7,25.5,22.7,17,0.824,51,0.392,19,0.421,11.1,7.1,1.7,10.1,0.43,0.71,1.43,8,103.7,105.3
Patty Mills,San,G,30.84,7,21.8,15.3,10,0.6,21,0.524,22,0.136,5.3,2.1,3.6,22.5,1,0.14,0.43,6.3,98.7,107.9
Jakob Poeltl,San,C,23.66,7,25.3,11.2,9,0.556,35,0.657,1,0,7.3,7.7,1.7,9.8,0.29,0.71,0.43,7.2,144.4,98.6
Derrick White,San,G,24.95,7,27.2,24.6,26,0.731,58,0.621,17,0.294,15.1,3,3,18.2,0.71,0.71,2.14,7.6,110.8,105.5
Danuel House Jr.,Hou,F-G,26.02,7,20.1,13.9,8,0.5,6,0.5,31,0.258,4.9,3.1,0.1,1,0.43,0.29,0.57,2.3,83.8,106.4
Daniel Theis,Bos,F,27.19,7,6,16.6,2,1,12,0.417,2,0,1.7,1.4,0,0,0.14,0.14,0.14,0,92.7,101.9
Jonathon Simmons,Phi,F,29.75,7,7.4,30.8,4,0.75,20,0.4,10,0.2,3.6,1.3,0.3,6.1,0.14,0,0.86,6.1,73.4,109.7
Nene,Hou,C-F,36.75,7,7.5,14.1,9,0.778,10,1,0,0,3.9,2,0.4,9.8,0.43,0.29,0.43,7.8,169.4,99.8
Jeremy Lin,Tor,G,30.81,8,3.4,26.5,4,1,7,0.143,2,0.5,1.1,0.4,0.5,21.1,0.13,0,0.63,7.1,,
Malcolm Brogdon,Mil,G,26.51,7,28.3,20.1,11,0.636,41,0.512,37,0.378,13,4.9,3.4,18.9,0.71,0.14,1.43,8.5,110.2,100.5
Patrick Beverley,Lac,G,30.92,6,32.4,12.8,8,0.75,17,0.412,30,0.433,9.8,8,4.7,19.8,1,0.83,1.67,8.9,118.2,102.3
